ccode,year,country,regionnm,protestdays,demand_labor,demand_land,demand_policebrutality,demand_political,demand_price,demand_removal,demand_social,nonviolent,protester_violence,state_violence,both_violence
20,1990,"Canada","North America",63,1,1,1,4,0,0,0,3,2,1,1
20,1991,"Canada","North America",13,2,0,0,0,0,0,0,2,0,0,0
20,1992,"Canada","North America",2,0,0,1,0,0,0,0,0,1,0,0
20,1993,"Canada","North America",63,0,0,0,2,0,0,0,2,0,0,0
20,1994,"Canada","North America",2,0,0,0,1,1,0,0,2,0,0,0
20,1995,"Canada","North America",2,0,1,0,0,1,0,0,1,0,1,1
20,1996,"Canada","North America",1,0,0,0,0,1,0,0,1,0,0,0
20,1997,"Canada","North America",29,2,0,0,1,0,0,0,2,0,0,0
20,1998,"Canada","North America",0,0,0,0,0,0,0,0,0,0,0,0
20,1999,"Canada","North America",0,0,0,0,0,0,0,0,0,0,0,0
20,2000,"Canada","North America",5,0,0,1,3,0,0,0,2,2,0,0
20,2001,"Canada","North America",0,0,0,0,0,0,0,0,0,0,0,0
20,2002,"Canada","North America",0,0,0,0,0,0,0,0,0,0,0,0
20,2003,"Canada","North America",1,0,0,0,1,0,0,0,0,1,0,0
20,2004,"Canada","North America",0,0,0,0,0,0,0,0,0,0,0,0
20,2005,"Canada","North America",33,0,0,0,2,0,0,0,1,1,0,0
20,2006,"Canada","North America",178,0,0,1,1,0,0,0,0,1,0,0
20,2007,"Canada","North America",1,0,0,0,1,0,0,0,1,0,0,0
20,2008,"Canada","North America",1,0,0,1,0,0,0,0,0,1,0,0
20,2009,"Canada","North America",2,0,0,0,2,0,0,0,1,1,0,0
20,2010,"Canada","North America",2,0,0,0,1,0,0,0,0,1,0,0
20,2011,"Canada","North America",1,0,0,0,1,0,0,0,1,0,0,0
20,2012,"Canada","North America",118,0,0,0,0,1,0,0,0,1,0,0
20,2013,"Canada","North America",0,0,0,0,0,0,0,0,0,0,0,0
20,2014,"Canada","North America",0,0,0,0,0,0,0,0,0,0,0,0
40,1990,"Cuba","Central America",0,0,0,0,0,0,0,0,0,0,0,0
40,1991,"Cuba","Central America",0,0,0,0,0,0,0,0,0,0,0,0
40,1992,"Cuba","Central America",0,0,0,0,0,0,0,0,0,0,0,0
40,1993,"Cuba","Central America",0,0,0,0,0,0,0,0,0,0,0,0
40,1994,"Cuba","Central America",1,0,0,0,1,0,0,0,0,1,0,0
40,1995,"Cuba","Central America",0,0,0,0,0,0,0,0,0,0,0,0
40,1996,"Cuba","Central America",0,0,0,0,0,0,0,0,0,0,0,0
40,1997,"Cuba","Central America",0,0,0,0,0,0,0,0,0,0,0,0
40,1998,"Cuba","Central America",0,0,0,0,0,0,0,0,0,0,0,0
40,1999,"Cuba","Central America",1,0,0,0,1,0,0,0,1,0,0,0
40,2000,"Cuba","Central America",0,0,0,0,0,0,0,0,0,0,0,0
40,2001,"Cuba","Central America",0,0,0,0,0,0,0,0,0,0,0,0
40,2002,"Cuba","Central America",0,0,0,0,0,0,0,0,0,0,0,0
40,2003,"Cuba","Central America",0,0,0,0,0,0,0,0,0,0,0,0
40,2004,"Cuba","Central America",0,0,0,0,0,0,0,0,0,0,0,0
40,2005,"Cuba","Central America",0,0,0,0,0,0,0,0,0,0,0,0
40,2006,"Cuba","Central America",0,0,0,0,0,0,0,0,0,0,0,0
40,2007,"Cuba","Central America",0,0,0,0,0,0,0,0,0,0,0,0
40,2008,"Cuba","Central America",0,0,0,0,0,0,0,0,0,0,0,0
40,2009,"Cuba","Central America",0,0,0,0,0,0,0,0,0,0,0,0
40,2010,"Cuba","Central America",0,0,0,0,0,0,0,0,0,0,0,0
40,2011,"Cuba","Central America",0,0,0,0,0,0,0,0,0,0,0,0
40,2012,"Cuba","Central America",1,0,0,0,1,0,0,0,1,0,0,0
40,2013,"Cuba","Central America",0,0,0,0,0,0,0,0,0,0,0,0
40,2014,"Cuba","Central America",2,1,0,0,1,0,0,0,1,0,1,0
41,1990,"Haiti","Central America",5,0,0,1,1,0,1,0,1,0,1,1
41,1991,"Haiti","Central America",3,0,0,0,3,0,0,0,1,0,2,1
41,1992,"Haiti","Central America",2,0,0,1,2,0,0,0,1,0,1,1
41,1993,"Haiti","Central America",5,0,0,0,5,0,0,0,2,3,0,0
41,1994,"Haiti","Central America",10,1,0,2,9,0,0,0,3,2,5,4
41,1995,"Haiti","Central America",2,0,0,1,1,0,0,0,1,1,0,0
41,1996,"Haiti","Central America",1,0,0,0,1,0,0,0,1,0,0,0
41,1997,"Haiti","Central America",6,0,0,1,2,1,0,0,1,2,1,1
41,1998,"Haiti","Central America",3,0,0,2,1,0,0,0,0,2,0,1
41,1999,"Haiti","Central America",23,0,0,3,3,0,0,0,1,3,2,2
41,2000,"Haiti","Central America",6,0,0,0,4,0,0,0,0,4,0,0
41,2001,"Haiti","Central America",1,0,0,0,1,0,0,0,1,0,0,0
41,2002,"Haiti","Central America",6,0,0,0,1,0,4,0,2,2,0,0
41,2003,"Haiti","Central America",28,0,0,0,0,0,2,0,0,0,2,2
41,2004,"Haiti","Central America",8,0,0,0,4,0,4,0,5,1,2,2
41,2005,"Haiti","Central America",2,0,0,0,2,0,0,0,1,0,1,1
41,2006,"Haiti","Central America",5,0,0,1,3,0,0,0,3,1,0,0
41,2007,"Haiti","Central America",1,0,0,0,1,0,0,0,1,0,0,0
41,2008,"Haiti","Central America",4,0,0,0,0,3,0,0,1,2,0,0
41,2009,"Haiti","Central America",0,0,0,0,0,0,0,0,0,0,0,0
41,2010,"Haiti","Central America",7,0,0,0,4,0,0,0,1,3,0,0
41,2011,"Haiti","Central America",2,0,0,0,1,0,1,0,1,0,1,1
41,2012,"Haiti","Central America",4,0,1,0,2,0,0,0,3,0,0,0
41,2013,"Haiti","Central America",7,0,0,0,6,3,0,0,4,2,1,1
41,2014,"Haiti","Central America",9,0,0,0,6,0,5,0,4,5,0,0
42,1990,"Dominican Republic","Central America",6,0,0,0,1,3,0,0,2,0,2,2
42,1991,"Dominican Republic","Central America",4,0,0,0,0,3,0,0,2,0,1,1
42,1992,"Dominican Republic","Central America",1,0,0,0,1,0,0,0,0,0,1,1
42,1993,"Dominican Republic","Central America",2,1,0,0,0,0,0,0,0,1,0,0
42,1994,"Dominican Republic","Central America",3,0,0,0,2,0,0,0,0,2,0,0
42,1995,"Dominican Republic","Central America",10,1,0,1,2,2,0,0,0,3,3,3
42,1996,"Dominican Republic","Central America",3,0,0,1,2,0,0,0,2,1,0,0
42,1997,"Dominican Republic","Central America",12,1,0,0,2,4,0,0,0,2,3,3
42,1998,"Dominican Republic","Central America",6,0,0,0,4,1,0,0,0,2,2,2
42,1999,"Dominican Republic","Central America",6,0,0,0,2,1,0,0,1,0,1,1
42,2000,"Dominican Republic","Central America",1,1,0,0,1,0,0,0,0,1,0,0
42,2001,"Dominican Republic","Central America",3,0,0,1,2,0,0,0,3,0,0,0
42,2002,"Dominican Republic","Central America",1,0,0,0,1,0,0,0,0,0,1,1
42,2003,"Dominican Republic","Central America",2,0,0,0,2,1,0,0,0,2,0,0
42,2004,"Dominican Republic","Central America",1,0,0,0,0,1,0,0,0,0,1,1
42,2005,"Dominican Republic","Central America",0,0,0,0,0,0,0,0,0,0,0,0
42,2006,"Dominican Republic","Central America",0,0,0,0,0,0,0,0,0,0,0,0
42,2007,"Dominican Republic","Central America",0,0,0,0,0,0,0,0,0,0,0,0
42,2008,"Dominican Republic","Central America",0,0,0,0,0,0,0,0,0,0,0,0
42,2009,"Dominican Republic","Central America",0,0,0,0,0,0,0,0,0,0,0,0
42,2010,"Dominican Republic","Central America",0,0,0,0,0,0,0,0,0,0,0,0
42,2011,"Dominican Republic","Central America",0,0,0,0,0,0,0,0,0,0,0,0
42,2012,"Dominican Republic","Central America",2,0,0,1,1,2,0,0,1,0,1,1
42,2013,"Dominican Republic","Central America",0,0,0,0,0,0,0,0,0,0,0,0
42,2014,"Dominican Republic","Central America",0,0,0,0,0,0,0,0,0,0,0,0
51,1990,"Jamaica","Central America",0,0,0,0,0,0,0,0,0,0,0,0
51,1991,"Jamaica","Central America",2,1,0,0,0,1,0,0,2,0,0,0
51,1992,"Jamaica","Central America",0,0,0,0,0,0,0,0,0,0,0,0
51,1993,"Jamaica","Central America",90,0,0,1,0,0,0,0,1,0,0,0
51,1994,"Jamaica","Central America",0,0,0,0,0,0,0,0,0,0,0,0
51,1995,"Jamaica","Central America",0,0,0,0,0,0,0,0,0,0,0,0
51,1996,"Jamaica","Central America",1,0,0,0,1,0,0,0,1,0,0,0
51,1997,"Jamaica","Central America",0,0,0,0,0,0,0,0,0,0,0,0
51,1998,"Jamaica","Central America",1,0,0,0,1,0,0,0,1,0,0,0
51,1999,"Jamaica","Central America",5,0,0,1,0,1,0,0,0,1,1,1
51,2000,"Jamaica","Central America",0,0,0,0,0,0,0,0,0,0,0,0
51,2001,"Jamaica","Central America",1,0,0,1,0,0,0,0,1,0,0,0
51,2002,"Jamaica","Central America",1,0,0,0,1,0,0,0,1,0,0,0
51,2003,"Jamaica","Central America",6,1,0,3,0,1,0,0,1,2,2,2
51,2004,"Jamaica","Central America",2,0,0,2,0,0,0,0,0,1,1,1
51,2005,"Jamaica","Central America",2,0,0,0,1,1,0,0,2,0,0,0
51,2006,"Jamaica","Central America",1,0,0,1,0,0,0,0,0,1,0,0
51,2007,"Jamaica","Central America",0,0,0,0,0,0,0,0,0,0,0,0
51,2008,"Jamaica","Central America",0,0,0,0,0,0,0,0,0,0,0,0
51,2009,"Jamaica","Central America",0,0,0,0,0,0,0,0,0,0,0,0
51,2010,"Jamaica","Central America",1,0,0,0,1,0,0,0,1,0,0,0
51,2011,"Jamaica","Central America",0,0,0,0,0,0,0,0,0,0,0,0
51,2012,"Jamaica","Central America",0,0,0,0,0,0,0,0,0,0,0,0
51,2013,"Jamaica","Central America",0,0,0,0,0,0,0,0,0,0,0,0
51,2014,"Jamaica","Central America",7,1,0,4,1,1,0,0,6,1,0,0
70,1990,"Mexico","North America",65,0,0,0,5,0,0,0,2,0,3,3
70,1991,"Mexico","North America",59,0,0,0,4,0,0,0,4,0,0,0
70,1992,"Mexico","North America",80,0,0,0,4,1,0,0,2,3,0,0
70,1993,"Mexico","North America",1,0,0,0,1,0,0,0,1,0,0,0
70,1994,"Mexico","North America",16,0,0,0,12,0,1,0,10,2,0,0
70,1995,"Mexico","North America",33,0,1,0,8,1,0,0,8,2,0,0
70,1996,"Mexico","North America",24,0,0,0,6,0,0,0,6,0,0,0
70,1997,"Mexico","North America",9,0,0,1,3,0,0,0,3,0,0,0
70,1998,"Mexico","North America",9,0,0,2,7,0,1,0,6,1,1,1
70,1999,"Mexico","North America",4,0,0,1,3,0,0,0,1,1,1,2
70,2000,"Mexico","North America",8,4,0,2,3,0,0,0,4,4,0,0
70,2001,"Mexico","North America",6,0,0,2,2,0,0,0,4,0,0,0
70,2002,"Mexico","North America",5,0,1,0,0,0,0,0,0,1,0,0
70,2003,"Mexico","North America",2,0,0,0,2,0,0,0,1,1,0,0
70,2004,"Mexico","North America",3,0,0,0,3,0,0,0,3,0,0,0
70,2005,"Mexico","North America",2,0,0,0,2,0,0,0,2,0,0,0
70,2006,"Mexico","North America",250,1,0,1,5,0,1,0,5,1,1,1
70,2007,"Mexico","North America",5,0,0,0,4,1,0,0,5,0,0,0
70,2008,"Mexico","North America",3,0,0,0,3,0,0,0,3,0,0,0
70,2009,"Mexico","North America",5,2,0,0,5,0,0,0,5,0,0,0
70,2010,"Mexico","North America",4,0,0,0,1,0,0,0,1,0,0,0
70,2011,"Mexico","North America",5,0,0,0,2,0,0,0,2,0,0,0
70,2012,"Mexico","North America",2,0,0,1,1,0,0,0,1,1,0,0
70,2013,"Mexico","North America",24,3,0,0,0,0,0,0,2,1,0,0
70,2014,"Mexico","North America",17,1,0,10,10,0,0,0,6,8,1,1
90,1990,"Guatemala","Central America",1,0,0,1,0,0,0,0,0,0,1,1
90,1991,"Guatemala","Central America",1,1,0,0,0,1,0,0,1,0,0,0
90,1992,"Guatemala","Central America",1,0,1,0,0,0,0,0,1,0,0,0
90,1993,"Guatemala","Central America",3,2,0,0,1,2,0,0,2,1,0,0
90,1994,"Guatemala","Central America",2,0,0,1,0,1,0,0,1,0,1,1
90,1995,"Guatemala","Central America",0,0,0,0,0,0,0,0,0,0,0,0
90,1996,"Guatemala","Central America",3,0,0,0,2,1,0,0,1,2,0,0
90,1997,"Guatemala","Central America",9,1,0,1,4,2,0,0,2,2,1,1
90,1998,"Guatemala","Central America",0,0,0,0,0,0,0,0,0,0,0,0
90,1999,"Guatemala","Central America",0,0,0,0,0,0,0,0,0,0,0,0
90,2000,"Guatemala","Central America",1,0,0,0,0,1,0,0,0,1,0,0
90,2001,"Guatemala","Central America",14,0,0,0,2,12,0,0,11,3,0,0
90,2002,"Guatemala","Central America",10,4,0,0,2,1,1,0,4,4,0,0
